iter	Logloss
0	0.6672160955
1	0.6412914611
2	0.6175848905
3	0.5957690312
4	0.576751519
5	0.5582669861
6	0.5423337974
7	0.5260046688
8	0.5111344534
9	0.4978553221
10	0.485494622
11	0.4735471803
12	0.4626080287
13	0.4526889743
14	0.4429445925
15	0.4334420859
16	0.4266052288
17	0.4184777049
18	0.4111619057
19	0.4043204136
20	0.3980475058
21	0.3919009914
22	0.3862337243
23	0.3810983506
24	0.3762279929
25	0.3715871748
26	0.3680283476
27	0.3644572024
28	0.3609176559
29	0.3572783719
30	0.3538043214
31	0.350493304
32	0.3477657946
33	0.3450754691
34	0.3426308997
35	0.3401214731
36	0.3377099053
37	0.3351489586
38	0.3332998596
39	0.3313928038
40	0.3294788829
41	0.327585514
42	0.3259403615
43	0.3243321264
44	0.3226625964
45	0.3214345871
46	0.3197709291
47	0.318269744
48	0.3169193107
49	0.3157196825
50	0.3141710903
51	0.313013718
52	0.3118884357
53	0.3107023623
54	0.3096462376
55	0.308443694
56	0.3075341138
57	0.3065866122
58	0.3056830993
59	0.3047576306
60	0.303924399
61	0.3030814756
62	0.302096136
63	0.301236536
64	0.3004088805
65	0.299640363
66	0.298728726
67	0.2980540187
68	0.2972828831
69	0.296510673
70	0.2959125034
71	0.2952490575
72	0.29449741
73	0.2938909383
74	0.2933149742
75	0.2927536103
76	0.292125539
77	0.2916341447
78	0.2911483469
79	0.2906606789
80	0.2901686255
81	0.2897102609
82	0.2892833705
83	0.2886619588
84	0.2883171636
85	0.2878652745
86	0.2874667888
87	0.2870066628
88	0.2865604037
89	0.2861725875
90	0.2857878369
91	0.2855167726
92	0.2851559834
93	0.2847304098
94	0.2844668774
95	0.2840817689
96	0.2836485897
97	0.2832614431
98	0.2828119454
99	0.2824243287
100	0.2820247936
101	0.2816651711
102	0.2811918834
103	0.2808925565
104	0.2805617677
105	0.2802622547
106	0.2799452522
107	0.2796956506
108	0.2793655808
109	0.2790689958
110	0.2787468007
111	0.2784350933
112	0.2781093588
113	0.2777847818
114	0.2774718911
115	0.2772020795
116	0.2768643334
117	0.276596085
118	0.2762625773
119	0.2759632961
120	0.2756767615
121	0.2753193492
122	0.2750233122
123	0.2748518561
124	0.2745873008
125	0.2743271862
126	0.2740329529
127	0.2737669088
128	0.2734805996
129	0.2731857397
130	0.2729023076
131	0.2726300006
132	0.2723693097
133	0.2721323353
134	0.2718977033
135	0.2714965064
136	0.2712641748
137	0.2710532906
138	0.2708436489
139	0.2706498174
140	0.2704199631
141	0.2702626295
142	0.2699006866
143	0.2696243841
144	0.2693767417
145	0.2690772042
146	0.2689353578
147	0.2687514073
148	0.2685229374
149	0.2681891876
150	0.2679413769
151	0.2677059645
152	0.2675490432
153	0.2673255375
154	0.2671382473
155	0.2668659889
156	0.2666957067
157	0.2664748143
158	0.266255751
159	0.2660163413
160	0.2658423382
161	0.2656492274
162	0.2654146366
163	0.2652654046
164	0.2650477653
165	0.2648961434
166	0.2647582903
167	0.2645796182
168	0.2643545327
169	0.2641326903
170	0.2639568728
171	0.2637093912
172	0.2634244869
173	0.2631116669
174	0.2629147776
175	0.2627804872
176	0.2625918914
177	0.2623656262
178	0.2621211544
179	0.2619947842
180	0.2618619932
181	0.2616406253
182	0.2613928657
183	0.2611172676
184	0.2609769448
185	0.260809714
186	0.2606521738
187	0.2605136967
188	0.2603907623
189	0.2601964532
190	0.2600184089
191	0.2598062253
192	0.2595958249
193	0.2593156953
194	0.2591475751
195	0.2589642989
196	0.2587965488
197	0.258573413
198	0.2584187691
199	0.2582355371
200	0.2580784453
201	0.2579469263
202	0.2577329778
203	0.2575332122
204	0.25729129
205	0.2570986838
206	0.2569654101
207	0.2567724555
208	0.2565557937
209	0.2563492159
210	0.2561808253
211	0.2560298258
212	0.2558900101
