iter	Passed	Remaining
0	14	28165
1	27	27646
2	40	26882
3	53	26515
4	67	26857
5	81	27098
6	95	27065
7	108	27100
8	122	27124
9	136	27066
10	150	27204
11	163	27106
12	177	27097
13	190	27024
14	204	27031
15	218	27040
16	231	26978
17	245	27052
18	258	26958
19	272	26970
20	287	27075
21	303	27290
22	317	27325
23	332	27381
24	346	27389
25	360	27377
26	376	27499
27	390	27491
28	404	27510
29	419	27516
30	434	27583
31	448	27605
32	463	27647
33	480	27801
34	495	27824
35	509	27811
36	525	27872
37	540	27887
38	555	27910
39	571	28001
40	586	28038
41	602	28067
42	616	28077
43	632	28099
44	647	28114
45	662	28150
46	678	28213
47	694	28223
48	709	28266
49	725	28298
50	740	28316
51	755	28302
52	772	28381
53	788	28401
54	802	28394
55	818	28413
56	832	28365
57	848	28393
58	862	28389
59	879	28443
60	894	28428
61	908	28397
62	923	28395
63	939	28428
64	955	28431
65	971	28455
66	987	28476
67	1002	28483
68	1018	28499
69	1033	28504
70	1049	28519
71	1066	28563
72	1080	28534
73	1095	28512
74	1111	28525
75	1127	28531
76	1143	28554
77	1159	28574
78	1175	28582
79	1189	28554
80	1205	28548
81	1221	28564
82	1236	28554
83	1252	28569
84	1267	28547
85	1283	28569
86	1299	28575
87	1315	28582
88	1330	28562
89	1345	28554
90	1360	28534
91	1377	28561
92	1393	28572
93	1409	28576
94	1424	28567
95	1439	28543
96	1454	28532
97	1472	28576
98	1488	28579
99	1504	28578
100	1520	28581
101	1535	28580
102	1551	28582
103	1567	28581
104	1585	28615
105	1599	28577
106	1615	28583
107	1631	28583
108	1646	28559
109	1662	28560
110	1679	28576
111	1694	28564
112	1710	28558
113	1725	28538
114	1740	28522
115	1756	28529
116	1772	28518
117	1788	28523
118	1804	28522
119	1818	28495
120	1834	28487
121	1851	28495
122	1868	28506
123	1881	28470
124	1899	28494
125	1915	28491
126	1931	28490
127	1947	28484
128	1964	28488
129	1980	28492
130	1999	28521
131	2015	28525
132	2031	28519
133	2047	28514
134	2063	28506
135	2079	28505
136	2094	28487
137	2111	28486
138	2125	28455
139	2140	28442
140	2155	28424
141	2170	28400
142	2187	28401
143	2204	28418
144	2220	28407
145	2234	28381
146	2249	28361
147	2266	28358
148	2280	28328
149	2294	28302
150	2312	28320
151	2327	28299
152	2343	28290
153	2359	28286
154	2374	28266
155	2389	28250
156	2407	28262
157	2421	28235
158	2438	28230
159	2454	28222
160	2469	28202
161	2484	28190
162	2500	28179
163	2518	28194
164	2534	28182
165	2548	28152
166	2563	28140
167	2579	28131
168	2595	28121
169	2612	28119
170	2628	28109
171	2644	28101
172	2660	28092
173	2674	28071
174	2691	28066
175	2706	28050
176	2723	28048
177	2739	28039
178	2756	28039
179	2772	28033
180	2786	28005
181	2802	27994
182	2820	28005
183	2836	27998
184	2853	27992
185	2867	27966
186	2883	27951
187	2898	27939
188	2914	27929
189	2930	27919
190	2945	27893
191	2959	27871
192	2976	27866
193	2993	27864
194	3009	27856
195	3024	27838
196	3040	27824
197	3056	27817
198	3072	27806
199	3087	27784
200	3103	27776
201	3118	27753
202	3134	27747
203	3150	27739
204	3167	27731
205	3182	27712
206	3198	27702
207	3214	27693
208	3232	27699
209	3246	27675
210	3262	27661
211	3278	27651
212	3294	27640
213	3310	27629
214	3325	27611
215	3343	27616
216	3358	27592
217	3374	27582
218	3388	27560
219	3404	27546
220	3419	27528
221	3435	27516
222	3451	27501
223	3466	27485
224	3483	27478
225	3498	27461
226	3513	27439
227	3528	27420
228	3543	27402
229	3559	27392
230	3575	27380
231	3590	27363
232	3605	27342
233	3621	27333
234	3640	27340
235	3655	27321
236	3670	27307
237	3687	27298
238	3703	27286
239	3720	27280
240	3734	27256
241	3752	27256
242	3768	27244
243	3783	27227
244	3797	27205
245	3812	27184
246	3827	27167
247	3846	27174
248	3863	27166
249	3878	27152
250	3895	27142
251	3911	27129
252	3927	27120
253	3944	27115
254	3960	27105
255	3976	27090
256	3991	27073
257	4006	27053
258	4022	27037
259	4036	27015
260	4053	27010
261	4068	26992
262	4085	26982
263	4100	26962
264	4115	26943
265	4130	26927
266	4145	26905
267	4163	26910
268	4179	26893
269	4194	26876
270	4210	26866
271	4227	26855
272	4241	26831
273	4258	26827
274	4274	26815
275	4290	26798
276	4306	26784
277	4320	26763
278	4335	26743
279	4351	26731
280	4367	26718
281	4382	26696
282	4398	26685
283	4414	26671
284	4429	26656
285	4446	26647
286	4462	26634
287	4479	26626
288	4494	26607
289	4509	26589
290	4523	26567
291	4538	26547
292	4555	26541
293	4570	26520
294	4586	26508
295	4603	26500
296	4618	26483
297	4634	26470
298	4650	26458
299	4667	26447
300	4682	26427
301	4697	26409
302	4711	26388
303	4727	26371
304	4742	26356
305	4760	26351
306	4774	26330
307	4790	26314
308	4806	26302
309	4820	26281
310	4836	26265
311	4851	26250
312	4870	26250
313	4884	26228
314	4901	26218
315	4917	26203
316	4932	26189
317	4947	26168
318	4963	26156
319	4981	26152
320	4998	26142
321	5013	26123
322	5029	26111
323	5044	26092
324	5059	26076
325	5076	26069
326	5092	26053
327	5107	26035
328	5123	26022
329	5139	26008
330	5154	25989
331	5172	25986
332	5187	25970
333	5203	25956
334	5219	25939
335	5235	25928
336	5250	25908
337	5266	25895
338	5283	25888
339	5299	25874
340	5315	25859
341	5330	25841
342	5346	25828
343	5362	25813
344	5377	25798
345	5395	25793
346	5410	25771
347	5424	25751
348	5440	25734
349	5454	25712
350	5468	25690
351	5486	25687
352	5502	25672
353	5517	25652
354	5532	25638
355	5547	25617
356	5562	25600
357	5576	25578
358	5593	25569
359	5609	25552
360	5625	25539
361	5641	25524
362	5656	25507
363	5671	25490
364	5689	25485
365	5703	25464
366	5719	25448
367	5733	25427
368	5748	25407
369	5763	25392
370	5778	25373
371	5795	25364
372	5810	25344
373	5825	25327
374	5841	25311
375	5856	25296
376	5872	25282
377	5888	25267
378	5904	25252
379	5920	25238
380	5936	25226
381	5951	25207
382	5965	25187
383	5980	25169
384	5997	25156
385	6011	25137
386	6026	25118
387	6041	25099
388	6056	25083
389	6071	25065
390	6087	25052
391	6102	25032
392	6117	25014
393	6132	24994
394	6147	24980
395	6162	24961
396	6177	24942
397	6194	24933
398	6209	24914
399	6225	24903
400	6241	24886
401	6256	24871
402	6272	24855
403	6288	24842
404	6303	24826
405	6319	24812
406	6335	24799
407	6350	24777
408	6366	24766
409	6381	24747
410	6398	24738
411	6414	24723
412	6430	24708
413	6445	24693
414	6461	24679
415	6477	24663
416	6494	24653
417	6508	24632
418	6522	24611
419	6537	24592
420	6553	24577
421	6568	24560
422	6582	24541
423	6599	24531
424	6614	24512
425	6630	24496
426	6645	24482
427	6664	24476
428	6685	24483
429	6704	24477
430	6720	24465
431	6736	24449
432	6751	24432
433	6766	24415
434	6780	24394
435	6795	24377
436	6813	24368
437	6828	24352
438	6844	24337
439	6860	24322
440	6876	24309
441	6892	24296
442	6910	24288
443	6925	24271
444	6941	24255
445	6955	24235
446	6970	24218
447	6986	24204
448	7002	24187
449	7017	24171
450	7031	24151
451	7046	24133
452	7061	24115
453	7076	24096
454	7092	24084
455	7108	24070
456	7124	24053
457	7140	24040
458	7153	24017
459	7169	24003
460	7185	23988
461	7199	23968
462	7217	23958
463	7233	23945
464	7248	23927
465	7262	23908
466	7277	23890
467	7294	23877
468	7310	23865
469	7325	23846
470	7340	23830
471	7355	23813
472	7370	23794
473	7385	23776
474	7400	23758
475	7416	23746
476	7431	23727
477	7447	23712
478	7462	23696
479	7478	23682
480	7493	23663
481	7510	23652
482	7525	23636
483	7540	23619
484	7556	23605
485	7571	23587
486	7586	23570
487	7601	23550
488	7617	23539
489	7634	23526
